State/UTs_Code,District_Code,CD Block_Code,Town/Village_Code,Ward_Code,EB_Code,State/UTs_Name,District_Name,Level,Name,Total/Rural/Urban,No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Scheduled Castes population Person,Scheduled Castes population Male,Scheduled Castes population Female,Scheduled Tribes population Person,Scheduled Tribes population Male,Scheduled Tribes population Female,Literates Population Person,Literates Population Male,Literates Population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Cultivator Population Person,Marginal Cultivator Population Male,Marginal Cultivator Population Female,Marginal Agriculture Labourers Population Person,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Female,Marginal Household Industries Population Person,Marginal Household Industries Population Male,Marginal Household Industries Population Female,Marginal Other Workers Population Person,Marginal Other Workers Population Male,Marginal Other Workers Population Female,Marginal Worker Population 3_6 Person,Marginal Worker Population 3_6 Male,Marginal Worker Population 3_6 Female,Marginal Cultivator Population 3_6 Person,Marginal Cultivator Population 3_6 Male,Marginal Cultivator Population 3_6 Female,Marginal Agriculture Labourers Population 3_6 Person,Marginal Agriculture Labourers Population 3_6 Male,Marginal Agriculture Labourers Population 3_6 Female,Marginal Household Industries Population 3_6 Person,Marginal Household Industries Population 3_6 Male,Marginal Household Industries Population 3-6 Female,Marginal Other Workers Population Person 3_6 Person,Marginal Other Workers Population Person 3_6 Male,Marginal Other Workers Population Person 3_6 Female,Marginal Worker Population 0_3 Person,Marginal Worker Population 0_3 Male,Marginal Worker Population 0_3_Female,Marginal Cultivator Population 0_3 Person,Marginal Cultivator Population 0_3 Male,Marginal Cultivator Population 0_3_Female,Marginal Agriculture Labourers Population 0_3 Person,Marginal Agriculture Labourers Population 0_3 Male,Marginal Agriculture Labourers Population 0_3 Female,Marginal Household Industries Population 0_3 Person,Marginal Household Industries Population 0_3 Male,Marginal Household Industries Population 0_3 Female,Marginal Other Workers Population 0_3 Person,Marginal Other Workers Population 0_3 Male,Marginal Other Workers Population 0_3 Female,Non Working Population Person,Non Working Population Male,Non Working Population Female
32,593,0044,627585,0000,000000,KERALA,Palakkad,VILLAGE,Koppam,Rural,6103,30169,14498,15671,3842,1926,1916,3783,1854,1929,55,24,31,24741,12039,12702,5428,2459,2969,8494,6892,1602,7285,6089,1196,537,477,60,944,668,276,238,211,27,5566,4733,833,1209,803,406,65,47,18,193,115,78,62,47,15,889,594,295,1017,689,328,54,38,16,148,87,61,23,16,7,792,548,244,192,114,78,11,9,2,45,28,17,39,31,8,97,46,51,21675,7606,14069
32,593,0044,627596,0000,000000,KERALA,Palakkad,TOWN,Ongallur -II (CT),Urban,5022,26273,12924,13349,3578,1844,1734,3244,1592,1652,26,14,12,20926,10483,10443,5347,2441,2906,7398,6404,994,5447,4818,629,174,170,4,358,240,118,130,116,14,4785,4292,493,1951,1586,365,47,43,4,487,364,123,31,19,12,1386,1160,226,1562,1268,294,43,39,4,387,291,96,26,17,9,1106,921,185,389,318,71,4,4,0,100,73,27,5,2,3,280,239,41,18875,6520,12355
32,593,0044,627597,0000,000000,KERALA,Palakkad,TOWN,Ongallur -I (CT),Urban,3495,16998,8310,8688,2057,1043,1014,2054,1017,1037,7,4,3,14000,6941,7059,2998,1369,1629,5181,4273,908,4613,3887,726,129,118,11,452,324,128,83,77,6,3949,3368,581,568,386,182,24,21,3,78,40,38,14,6,8,452,319,133,468,323,145,19,16,3,69,37,32,8,4,4,372,266,106,100,63,37,5,5,0,9,3,6,6,2,4,80,53,27,11817,4037,7780
32,593,0044,627598,0000,000000,KERALA,Palakkad,TOWN,Pattambi (CT),Urban,5897,28632,14049,14583,3534,1837,1697,3471,1710,1761,37,20,17,23888,11855,12033,4744,2194,2550,8561,7220,1341,6904,6004,900,121,105,16,407,300,107,99,90,9,6277,5509,768,1657,1216,441,27,22,5,142,88,54,19,14,5,1469,1092,377,1442,1079,363,22,17,5,128,80,48,14,10,4,1278,972,306,215,137,78,5,5,0,14,8,6,5,4,1,191,120,71,20071,6829,13242
32,593,0044,627599,0000,000000,KERALA,Palakkad,TOWN,Muthuthala (CT),Urban,5242,24861,11815,13046,3039,1524,1515,5151,2544,2607,39,21,18,20494,9895,10599,4367,1920,2447,7232,5817,1415,5833,4889,944,89,84,5,502,327,175,70,61,9,5172,4417,755,1399,928,471,35,31,4,229,130,99,32,19,13,1103,748,355,1223,802,421,27,24,3,206,117,89,27,16,11,963,645,318,176,126,50,8,7,1,23,13,10,5,3,2,140,103,37,17629,5998,11631
32,593,0045,000000,0000,000000,KERALA,Palakkad,CD BLOCK,Sreekrishnapuram,Total,40359,178585,85391,93194,19824,10109,9715,24884,11987,12897,626,321,305,148185,71867,76318,30400,13524,16876,60026,45522,14504,49618,39254,10364,4189,3721,468,10574,7206,3368,1116,898,218,33739,27429,6310,10408,6268,4140,718,459,259,3413,2002,1411,317,197,120,5960,3610,2350,9053,5588,3465,618,409,209,2987,1786,1201,273,176,97,5175,3217,1958,1355,680,675,100,50,50,426,216,210,44,21,23,785,393,392,118559,39869,78690
32,593,0045,000000,0000,000000,KERALA,Palakkad,CD BLOCK,Sreekrishnapuram,Rural,40359,178585,85391,93194,19824,10109,9715,24884,11987,12897,626,321,305,148185,71867,76318,30400,13524,16876,60026,45522,14504,49618,39254,10364,4189,3721,468,10574,7206,3368,1116,898,218,33739,27429,6310,10408,6268,4140,718,459,259,3413,2002,1411,317,197,120,5960,3610,2350,9053,5588,3465,618,409,209,2987,1786,1201,273,176,97,5175,3217,1958,1355,680,675,100,50,50,426,216,210,44,21,23,785,393,392,118559,39869,78690
32,593,0045,000000,0000,000000,KERALA,Palakkad,CD BLOCK,Sreekrishnapuram,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,593,0045,627572,0000,000000,KERALA,Palakkad,VILLAGE,Cherpulacherry,Rural,7538,34899,16591,18308,4123,2093,2030,3907,1881,2026,69,33,36,29204,13948,15256,5695,2643,3052,10954,8543,2411,9263,7529,1734,498,464,34,1326,933,393,156,124,32,7283,6008,1275,1691,1014,677,82,53,29,454,286,168,41,23,18,1114,652,462,1486,914,572,74,49,25,409,257,152,32,21,11,971,587,384,205,100,105,8,4,4,45,29,16,9,2,7,143,65,78,23945,8048,15897
32,593,0045,627573,0000,000000,KERALA,Palakkad,VILLAGE,Vellinezhi,Rural,4967,20168,9726,10442,1814,948,866,3356,1660,1696,95,49,46,17147,8392,8755,3021,1334,1687,7369,5422,1947,6130,4713,1417,518,474,44,1647,1111,536,128,103,25,3837,3025,812,1239,709,530,67,28,39,344,161,183,34,18,16,794,502,292,1020,587,433,49,20,29,291,139,152,29,15,14,651,413,238,219,122,97,18,8,10,53,22,31,5,3,2,143,89,54,12799,4304,8495
